Transcript Chunk,Comment
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,his parents have a very big role in his victory they invested so much in gukesh their time money because they believe in the talent of their product yeah its full on max support from them and its fully fully worth it you see their son scripted a new record so many parents have such genius kids invest in them hone them on the right path they can bring wonders
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,congrats gukesh :india:
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,iterally man this means a lot emotions are overflowing speechless no words but very happy cheers to gukesh
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,made us proud big brains congratulations
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,india now become 6 times world :trophy::trophy::trophy::trophy::trophy::trophy: 5 times vishwanathan anand 1 times gukesh d legacy of vishwanath anand continuation is just started
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,:flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps: congratulations gukesh you are the best jai sri ram :om::foldedhands::india: jai hind
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,congratulations you made us proud bharat is reclaiming its heritage
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,so proud of gukesh the champion guki :trophy::partypopper:
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,adding more context to magnuss criticism carlsen wasnt disappointed when gukesh won championship the line said by carlsen its hard to understate how bad gukesh played was said in a recap at taketaketake after the game 1 when gukesh lost to which gukesh replied that it was his first wcc game and he was very nervous just like magnus was magnus really liked gukeshs reponse and replied later in a video what an excellent and mature response by gukesh source:
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,gukesh already semilegendary winning the candidates tournament at 17 years old is no joke especially when it had three 2800 elo players in it youngest world chess champion ever and probably the best active chess player on earth right now
from India after vishwanathan Anand and the 18th world champion overall he achieved this Laurel at the fiday World Chess Championship in Singapore VES defeated the def Champion Chinas dingl Ren who held the previous record at the age of 22 it was a dramatic match tensions were high this was a 14 game match before the last game the match was tied it,correction needed at 0:32 ding liren became world champion at 32 years of age not 22
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,0:10 smile at palkis face when she was talking about gukesh tells how much she felt proud about him
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,excellent win for a young man congratulations gukesh and in inspiration
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,2:40 carlsen only critized one game and not the entire match which gukesh himself acknowledged later on carlsen said that he was proud of gukesh and gukesh is quite mature for an 18 year old as a fellow indian please dont set false narratives
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,proud moment for india :india: hearty congratulations to gukesh dommaraju from chennai tamil nadu now to become the youngest world chess champion fide 2024 at the age of just 18 you made our country so proud man :partypopper::partypopper::partypopper:
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,please correct this error at 0:30 ding didnt held the previous record of the youngest world chess champion it was garry kasparov who became a wc at the age of 22
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,honestly man gukesh has made everyone proud very happy no words speechlessgukesh just won the world championship 2024 overwhelmed happy and proud to know that from today gukesh is the official world chess champion congrats to gukesh and india to bring back the world championship shoutout from mauritius very happy
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,congratulations to gukesh the youngest world champion in history
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,congratulations gukesh
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,congratulations gukesh a marvelous achievement
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,his parents have a very big role in his victory they invested so much in gukesh their time money because they believe in the talent of their product yeah its full on max support from them and its fully fully worth it you see their son scripted a new record so many parents have such genius kids invest in them hone them on the right path they can bring wonders
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,congrats gukesh :india:
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,iterally man this means a lot emotions are overflowing speechless no words but very happy cheers to gukesh
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,made us proud big brains congratulations
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,india now become 6 times world :trophy::trophy::trophy::trophy::trophy::trophy: 5 times vishwanathan anand 1 times gukesh d legacy of vishwanath anand continuation is just started
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,:flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps: congratulations gukesh you are the best jai sri ram :om::foldedhands::india: jai hind
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,congratulations you made us proud bharat is reclaiming its heritage
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,so proud of gukesh the champion guki :trophy::partypopper:
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,adding more context to magnuss criticism carlsen wasnt disappointed when gukesh won championship the line said by carlsen its hard to understate how bad gukesh played was said in a recap at taketaketake after the game 1 when gukesh lost to which gukesh replied that it was his first wcc game and he was very nervous just like magnus was magnus really liked gukeshs reponse and replied later in a video what an excellent and mature response by gukesh source:
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,gukesh already semilegendary winning the candidates tournament at 17 years old is no joke especially when it had three 2800 elo players in it youngest world chess champion ever and probably the best active chess player on earth right now
high this was a 14 game match before the last game the match was tied it looked as though the final game was heading for a draw but it came to an unexpected close after nearly 5 hours of play ding cracked he blundered he made a simple but terrible mistake and gkes exploited the error he forced an end and clinched the title,correction needed at 0:32 ding liren became world champion at 32 years of age not 22
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,0:10 smile at palkis face when she was talking about gukesh tells how much she felt proud about him
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,excellent win for a young man congratulations gukesh and in inspiration
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,2:40 carlsen only critized one game and not the entire match which gukesh himself acknowledged later on carlsen said that he was proud of gukesh and gukesh is quite mature for an 18 year old as a fellow indian please dont set false narratives
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,proud moment for india :india: hearty congratulations to gukesh dommaraju from chennai tamil nadu now to become the youngest world chess champion fide 2024 at the age of just 18 you made our country so proud man :partypopper::partypopper::partypopper:
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,please correct this error at 0:30 ding didnt held the previous record of the youngest world chess champion it was garry kasparov who became a wc at the age of 22
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,honestly man gukesh has made everyone proud very happy no words speechlessgukesh just won the world championship 2024 overwhelmed happy and proud to know that from today gukesh is the official world chess champion congrats to gukesh and india to bring back the world championship shoutout from mauritius very happy
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,congratulations to gukesh the youngest world champion in history
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,congratulations gukesh
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,congratulations gukesh a marvelous achievement
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,his parents have a very big role in his victory they invested so much in gukesh their time money because they believe in the talent of their product yeah its full on max support from them and its fully fully worth it you see their son scripted a new record so many parents have such genius kids invest in them hone them on the right path they can bring wonders
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,congrats gukesh :india:
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,iterally man this means a lot emotions are overflowing speechless no words but very happy cheers to gukesh
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,made us proud big brains congratulations
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,india now become 6 times world :trophy::trophy::trophy::trophy::trophy::trophy: 5 times vishwanathan anand 1 times gukesh d legacy of vishwanath anand continuation is just started
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,:flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps::flexedbiceps: congratulations gukesh you are the best jai sri ram :om::foldedhands::india: jai hind
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,congratulations you made us proud bharat is reclaiming its heritage
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,so proud of gukesh the champion guki :trophy::partypopper:
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,adding more context to magnuss criticism carlsen wasnt disappointed when gukesh won championship the line said by carlsen its hard to understate how bad gukesh played was said in a recap at taketaketake after the game 1 when gukesh lost to which gukesh replied that it was his first wcc game and he was very nervous just like magnus was magnus really liked gukeshs reponse and replied later in a video what an excellent and mature response by gukesh source:
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,gukesh already semilegendary winning the candidates tournament at 17 years old is no joke especially when it had three 2800 elo players in it youngest world chess champion ever and probably the best active chess player on earth right now
but terrible mistake and gkes exploited the error he forced an end and clinched the title ding walked away despondently shaking his head and gkes who normally stoic clasped his hands at the board overwhelmed by the victory he burst into tears it has come full circle for gkes he has wanted to be world champion since 2013 when he was just seven and,correction needed at 0:32 ding liren became world champion at 32 years of age not 22
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,0:10 smile at palkis face when she was talking about gukesh tells how much she felt proud about him
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,excellent win for a young man congratulations gukesh and in inspiration
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,2:40 carlsen only critized one game and not the entire match which gukesh himself acknowledged later on carlsen said that he was proud of gukesh and gukesh is quite mature for an 18 year old as a fellow indian please dont set false narratives
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,proud moment for india :india: hearty congratulations to gukesh dommaraju from chennai tamil nadu now to become the youngest world chess champion fide 2024 at the age of just 18 you made our country so proud man :partypopper::partypopper::partypopper:
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,please correct this error at 0:30 ding didnt held the previous record of the youngest world chess champion it was garry kasparov who became a wc at the age of 22
gkes he has wanted to be world champion since 2013 when he was just seven and watched the World Chess Championship Match in Chennai it was played between Magnus Carlson and vishwanath anandan who was then the world champion gkes sat in the audience at the edge of his seat and watched Carlson win the title but nearly a decade later that same gkes,honestly man gukesh has made everyone proud very happy no words speechlessgukesh just won the world championship 2024 overwhelmed happy and proud to know that from today gukesh is the official world chess champion congrats to gukesh and india to bring back the world championship shoutout from mauritius very happy
